,cr_layerwise,ranks,device,time forward train,time backward train,time forward test,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
134,0.35,"[198, 121, 48, None]",cpu,3.8557,7.1265,1.0743,141467,75.3,909911,-58.8,1337292,-16.7
135,0.4,"[183, 112, 44, None]",cpu,2.8493,7.1342,1.0244,130839,77.2,829251,-44.7,1220392,-6.5
136,0.45,"[167, 102, 41, None]",cpu,2.7338,6.015,0.9727,119510,79.1,745778,-30.2,1099180,4.1
137,0.5,"[152, 93, 37, None]",cpu,2.4095,5.7323,0.863,108882,81.0,669102,-16.8,987592,13.8
138,0.55,"[137, 84, 33, None]",cpu,2.2991,5.8119,0.8124,98254,82.9,594358,-3.7,878580,23.3
139,0.6,"[122, 74, 29, None]",cpu,2.0734,4.8081,0.7289,87325,84.8,519499,9.3,769148,32.9
140,0.65,"[106, 65, 26, None]",cpu,1.9355,4.1405,0.669,76297,86.7,446419,22.1,662060,42.2
141,0.7,"[91, 56, 22, None]",cpu,1.7814,3.7739,0.6117,65669,88.5,377591,34.1,560936,51.1
142,0.75,"[76, 46, 18, None]",cpu,1.5326,3.173,0.5178,54740,90.4,308816,46.1,459616,59.9
143,0.8,"[61, 37, 14, None]",cpu,1.4151,2.9408,0.4817,44112,92.3,243906,57.4,363716,68.3
144,0.85,"[45, 28, 11, None]",cpu,1.1563,2.3939,0.3833,33084,94.2,178950,68.8,267460,76.7
145,0.9,"[30, 18, 7, None]",cpu,0.9787,2.0814,0.3295,22155,96.1,116259,79.7,174252,84.8
146,0.95,"[15, 9, 3, None]",cpu,0.8109,1.7952,0.2712,11527,98.0,57265,90.0,86240,92.5
147,baseline,"[None, None, None, None]",cpu,1.5795,3.6289,1.5694,573000,0.0,573000,0.0,1146000,0.0
148,0.0,"[305, 187, 74, None]",cpu,4.3242,10.923,1.6219,217566,62.0,1543050,-169.3,2248340,-96.2
149,0.05,"[289, 177, 71, None]",cpu,4.5478,9.8085,1.5498,206237,64.0,1442825,-151.8,2104792,-83.7
150,0.1,"[274, 168, 67, None]",cpu,3.8984,8.7041,1.4594,195609,65.9,1350399,-135.7,1972204,-72.1
